Eriogonum cithariforme var. agninum
Eriogonum clavatum
Eriogonum davidsonii
Eriogonum deflexum var. baratum
Eriogonum elongatum var. elongatum
Eriogonum fasciculatum var. foliolosum
Eriogonum fasciculatum var. polifolium
Eriogonum gossypinum
Eriogonum gracillimum
Eriogonum inerme var. hispidulum
Delphinium patens
Delphinium umbraculorum
Enemion occidentale
Myosurus minimus
Ranunculus californicus var. californicus
Ranunculus canus var. ludovicianus
Ranunculus cymbalaria
Ranunculus hebecarpus
Ranunculus aquatilis var. aquatilis
Ceanothus cordulatus
Ceanothus cuneatus var. cuneatus
Ceanothus cuneatus X vestitus
Ceanothus integerrimus var. macrothyrsus
Ceanothus leucodermis
Ceanothus vestitus
Frangula californica subsp. cuspidata
Frangula californica subsp. tomentella
Rhamnus ilicifolia
Adenostoma fasciculatum var. fasciculatum
Amelanchier utahensis
Aphanes occidentalis
Cercocarpus betuloides var. betuloides
Cercocarpus ledifolius var. intermontanus
Drymocallis glandulosa var. glandulosa
Ivesia santolinoides
Potentilla biennis
Potentilla gracilis var. elmeri
Prunus emarginata
Prunus fasciculata var. fasciculata
Prunus subcordata
Prunus virginiana var. demissa
Purshia tridentata var. glandulosa
Rosa californica
Rubus parviflorus
Rubus ursinus
Cephalanthus occidentalis
Galium andrewsii subsp. andrewsii
Galium andrewsii subsp. intermedium
Galium angustifolium subsp. angustifolium
Galium aparine
Galium bolanderi
Galium hallii
Galium parisiense
Ruppia cirrhosa
Populus fremontii subsp. fremontii
Populus trichocarpa
Salix exigua
Hesperocnide tenella
Urtica dioica subsp. holosericea
Urtica urens
Plectritis ciliosa
Verbena lasiostachys var. scabrida
Veronica persica
Viola purpurea subsp. aurea
Viola purpurea subsp. purpurea
Viola purpurea subsp. quercetorum
Viola sheltonii
Asclepias californica
Asclepias eriocarpa
Asclepias erosa
Asclepias fascicularis
Lemna gibba
Lemna minor
Lemna minuta
Hydrocotyle verticillata
Acamptopappus sphaerocephalus var. hirtellus
Achillea millefolium
Achyrachaena mollis
Agoseris grandiflora
Agoseris heterophylla var. cryptopleura
Agoseris retrorsa
Ambrosia acanthicarpa
Ambrosia salsola var. salsola
Ancistrocarphus filagineus
Anisocoma acaulis
Artemisia arbuscula subsp. arbuscula
Artemisia douglasiana
Artemisia dracunculus
Artemisia tridentata subsp. tridentata
Artemisia tridentata subsp. vaseyana
Baccharis glutinosa
Baccharis salicifolia subsp. salicifolia
Balsamorhiza deltoidea
Bassia hyssopifolia
Brickellia californica
Brickellia nevinii
Calycadenia multiglandulosa
Carduus pycnocephalus subsp. pycnocephalus
Centaurea benedicta
Centaurea melitensis
Centaurea solstitialis
Centromadia fitchii
Centromadia pungens subsp. pungens
Chaenactis fremontii
Chaenactis glabriuscula var. glabriuscula
Layia platyglossa
Lepidospartum squamatum
Leptosyne bigelovii
Leptosyne calliopsidea
Leptosyne douglasii
Lessingia glandulifera var. glandulifera
Lessingia glandulifera var. peirsonii
Lessingia pectinata var. tenuipes
Logfia depressa
Logfia filaginoides
Logfia gallica
Madia elegans
Madia gracilis
Malacothrix californica
Malacothrix clevelandii
Malacothrix coulteri
Malacothrix floccifera
Malacothrix glabrata
Malacothrix saxatilis var. commutata
Matricaria discoidea
Matricaria occidentalis
Micropus californicus var. californicus
Microseris douglasii subsp. douglasii
Microseris sylvatica
Monolopia lanceolata
Monolopia stricta
Packera breweri
Packera ionophylla
Pluchea odorata var. odorata
Pseudobahia peirsonii
Pseudognaphalium californicum
Pseudognaphalium luteoalbum
Pseudognaphalium stramineum
Pseudognaphalium thermale
Psilocarphus tenellus
Rafinesquia californica
Rigiopappus leptocladus
Senecio flaccidus var. douglasii
Senecio vulgaris
Silybum marianum
Solidago confinis
Solidago velutina subsp. californica
Sonchus asper subsp. asper
Sonchus oleraceus
Stephanomeria cichoriacea
Stephanomeria exigua subsp. coronaria
Stephanomeria exigua subsp. exigua
Stephanomeria pauciflora
Stephanomeria virgata subsp. pleurocarpa
Stephanomeria virgata subsp. virgata
Stylocline gnaphaloides
Syntrichopappus fremontii
Syntrichopappus lemmonii
Taraxacum officinale
Tetradymia canescens
Tetradymia stenolepis
Phacelia distans
Phacelia douglasii
Phacelia egena
Phacelia fremontii
Phacelia imbricata var. imbricata
Phacelia imbricata var. patula
Phacelia ramosissima
Phacelia tanacetifolia
Pholisma arenarium
Pholistoma auritum var. auritum
Pholistoma membranaceum
Plagiobothrys acanthocarpus
Plagiobothrys arizonicus
Plagiobothrys canescens var. canescens
Plagiobothrys fulvus var. campestris
Plagiobothrys nothofulvus
Plagiobothrys tenellus
Alyssum simplex
Athysanus pusillus
Athysanus unilateralis
Barbarea orthoceras
Boechera pulchra
Boechera retrofracta
Boechera xylopoda
Brassica nigra
Brassica tournefortii
Capsella bursa-pastoris
Cardamine californica
Cardamine pachystigma
Caulanthus amplexicaulis
Caulanthus anceps
Caulanthus californicus
Caulanthus coulteri
Caulanthus lasiophyllus
Caulanthus lemmonii
Descurainia pinnata subsp. brachycarpa
Descurainia sophia
Draba cuneifolia
Draba verna
Erysimum capitatum var. capitatum
Hirschfeldia incana
Lepidium dictyotum
Lepidium fremontii
Lepidium latifolium
Lepidium nitidum
Lepidium virginicum subsp. menziesii
Lepidium virginicum subsp. virginicum
Nasturtium officinale
Raphanus sativus
Rorippa curvisiliqua
Sinapis arvensis
Sisymbrium altissimum
Sisymbrium irio
Sisymbrium officinale
Chenopodium berlandieri var. zschackei
Chenopodium californicum
Chenopodium desiccatum
Chenopodium fremontii
Chenopodium murale
Chenopodium rubrum var. humile
Chenopodium vulvaria
Halogeton glomeratus
Krascheninnikovia lanata
Monolepis nuttalliana
Salsola tragus
Suaeda nigra
Crocanthemum scoparium var. vulgare
Peritoma arborea var. globosa
Calystegia malacophylla subsp. pedicellata
Calystegia occidentalis subsp. fulcrata
Calystegia occidentalis X Calystegia macrostegia
Convolvulus arvensis
Convolvulus simulans
Cuscuta californica var. papillosa
Cornus glabrata
Cornus sericea subsp. occidentalis
Crassula connata
Dudleya abramsii subsp. calcicola
Dudleya cymosa subsp. cymosa
Dudleya cymosa subsp. pumila
Dudleya lanceolata
Sedum spathulifolium
Cucurbita foetidissima
Cucurbita palmata
Marah fabacea
Marah horrida
Calocedrus decurrens
Juniperus californica
Bolboschoenus maritimus subsp. paludosus
Carex hassei
Carex praegracilis
Carex subfusca
Eleocharis acicularis var. acicularis
Eleocharis bella
Eleocharis macrostachya
Eleocharis parishii
Hosackia crassifolia var. crassifolia
Hosackia oblongifolia var. oblongifolia
Lathyrus vestitus var. vestitus
Lupinus albifrons var. albifrons
Lupinus benthamii
Lupinus bicolor
Lupinus chamissonis
Lupinus concinnus
Lupinus excubitus var. austromontanus
Lupinus formosus var. formosus
Lupinus latifolius var. parishii
Lupinus microcarpus var. densiflorus
Lupinus microcarpus var. horizontalis
Lupinus microcarpus var. microcarpus
Lupinus nanus
Lupinus peirsonii
Lupinus sparsiflorus
Lupinus succulentus
Medicago lupulina
Medicago polymorpha
Melilotus indicus
Pediomelum californicum
Pickeringia montana var. montana
Prosopis glandulosa var. torreyana
Prosopis velutina
Robinia pseudoacacia
Thermopsis californica var. argentata
Trifolium albopurpureum
Trifolium ciliolatum
Trifolium cyathiferum
Trifolium depauperatum var. amplectens
Trifolium gracilentum
Trifolium microcephalum
Trifolium repens
Trifolium variegatum var. major
Trifolium willdenovii
Trifolium wormskioldii
Vicia americana subsp. americana
Vicia hassei
Quercus ×alvordiana
Quercus berberidifolia
Quercus chrysolepis
Quercus douglasii
Quercus garryana var. breweri
Quercus garryana var. semota
Quercus john-tuckeri
Quercus kelloggii
Quercus lobata
Quercus wislizeni var. frutescens
Quercus wislizeni var. wislizeni
Quercus Xmorehaus
Frankenia salina
Salvia dorrii var. pilosa
Salvia mellifera
Scutellaria siphocampyloides
Scutellaria tuberosa
Stachys albens
Stachys rigida var. rigida
Trichostema lanceolatum
Trichostema ovatum
Calochortus invenustus
Calochortus kennedyi var. kennedyi
Calochortus palmeri var. palmeri
Calochortus striatus
Calochortus venustus
